day,ticker,lb,kind,level,notional,approach,outcome,deflect
2026-04-13,QQQ,lb1,real,611.0038,79430494.0,support,deflect,1
2026-04-13,QQQ,lb1,placebo,613.0461497387863,79430494.0,resistance,break,0
2026-04-13,QQQ,lb5,placebo,613.7319399735354,397337103.67999995,support,deflect,1
2026-04-13,QQQ,lb5,placebo,613.7319399735354,397337103.67999995,support,deflect,1
2026-04-13,QQQ,lb5,placebo,614.4206910986771,397337103.67999995,resistance,break,0
2026-04-13,QQQ,lb5,real,613.21,97096284.61,resistance,break,0
2026-04-13,QQQ,lb5,real,613.21,97096284.61,support,deflect,1
2026-04-13,QQQ,lb5,placebo,609.3897090639981,97096284.61,support,break,0
2026-04-13,QQQ,lb5,placebo,615.2809960866673,97096284.61,support,deflect,1
2026-04-13,QQQ,lb5,placebo,615.9186652432335,97096284.61,resistance,break,0
2026-04-13,QQQ,lb5,real,611.0038,79430494.0,resistance,break,0
2026-04-13,QQQ,lb5,real,611.0038,79430494.0,support,deflect,1
2026-04-13,QQQ,lb5,real,611.0038,79430494.0,support,deflect,1
2026-04-13,QQQ,lb5,real,611.0038,79430494.0,support,deflect,1
2026-04-13,QQQ,lb5,placebo,608.5630687403225,79430494.0,support,deflect,1
2026-04-13,SPY,lb1,real,679.3354,271734160.0,support,deflect,1
2026-04-13,SPY,lb1,real,679.3354,271734160.0,support,deflect,1
2026-04-13,SPY,lb1,real,679.3354,271734160.0,support,deflect,1
2026-04-13,SPY,lb1,real,679.91,227494486.45,resistance,deflect,1
2026-04-13,SPY,lb1,real,679.91,227494486.45,resistance,break,0
2026-04-13,SPY,lb1,placebo,677.732687955491,227494486.45,support,break,0
2026-04-13,SPY,lb5,real,679.3354,271734160.0,support,deflect,1
2026-04-13,SPY,lb5,real,679.3354,271734160.0,support,deflect,1
2026-04-13,SPY,lb5,real,679.3354,271734160.0,support,deflect,1
2026-04-13,SPY,lb5,placebo,681.5096600589686,271734160.0,resistance,break,0
2026-04-13,SPY,lb5,placebo,677.1428325518127,271734160.0,support,deflect,1
2026-04-13,SPY,lb5,real,679.91,227494486.45,resistance,deflect,1
2026-04-13,SPY,lb5,real,679.91,227494486.45,resistance,break,0
2026-04-13,SPY,lb5,placebo,676.7721458596128,227494486.45,support,deflect,1
2026-04-13,SPY,lb5,placebo,679.0291376614904,209541392.4,support,deflect,1
2026-04-13,SPY,lb5,placebo,679.0291376614904,209541392.4,support,deflect,1
2026-04-13,SPY,lb5,placebo,679.0291376614904,209541392.4,support,deflect,1
2026-04-13,SPY,lb5,placebo,679.131765276653,209541392.4,support,deflect,1
2026-04-13,SPY,lb5,placebo,679.131765276653,209541392.4,support,deflect,1
2026-04-13,SPY,lb5,placebo,679.131765276653,209541392.4,support,deflect,1
2026-04-14,QQQ,lb1,placebo,621.6540679012484,13014095.5,resistance,break,0
2026-04-14,QQQ,lb1,placebo,621.6540679012484,13014095.5,support,deflect,1
2026-04-14,SPY,lb1,placebo,690.1650763440539,343120550.0,resistance,deflect,1
2026-04-14,SPY,lb1,placebo,690.1650763440539,343120550.0,resistance,break,0
2026-04-14,SPY,lb1,placebo,690.7072625172075,343120550.0,support,deflect,1
2026-04-14,SPY,lb5,placebo,689.4798509677039,343120550.0,support,deflect,1
2026-04-14,SPY,lb5,placebo,689.5761993286484,343120550.0,resistance,break,0
2026-04-15,QQQ,lb1,real,628.6,150043048.4,support,deflect,1
2026-04-15,QQQ,lb1,placebo,632.0262530003522,150043048.4,resistance,deflect,1
2026-04-15,QQQ,lb1,placebo,632.0262530003522,150043048.4,resistance,break,0
2026-04-15,QQQ,lb1,placebo,632.0262530003522,150043048.4,support,deflect,1
2026-04-15,QQQ,lb1,placebo,632.0262530003522,150043048.4,resistance,break,0
2026-04-15,QQQ,lb1,placebo,632.5741831203476,150043048.4,support,deflect,1
2026-04-15,QQQ,lb1,placebo,632.5741831203476,150043048.4,resistance,break,0
2026-04-15,QQQ,lb1,placebo,632.5741831203476,150043048.4,support,deflect,1
2026-04-15,QQQ,lb1,placebo,632.7417400547697,150043048.4,resistance,break,0
2026-04-15,QQQ,lb1,placebo,632.7417400547697,150043048.4,support,deflect,1
2026-04-15,QQQ,lb1,placebo,632.7417400547697,150043048.4,support,deflect,1
2026-04-15,QQQ,lb1,placebo,632.7417400547697,150043048.4,resistance,break,0
2026-04-15,QQQ,lb1,placebo,632.7417400547697,150043048.4,support,deflect,1
2026-04-15,QQQ,lb5,real,628.6,150043048.4,support,deflect,1
2026-04-15,QQQ,lb5,placebo,630.9427394642654,150043048.4,support,deflect,1
2026-04-15,QQQ,lb5,placebo,631.6290959828215,150043048.4,resistance,break,0
2026-04-15,QQQ,lb5,placebo,631.6290959828215,150043048.4,support,deflect,1
2026-04-15,SPY,lb1,real,694.3516,1388703200.0,support,deflect,1
2026-04-15,SPY,lb1,placebo,698.0338763185918,1388703200.0,resistance,deflect,1
2026-04-15,SPY,lb1,placebo,698.0338763185918,1388703200.0,resistance,break,0
2026-04-15,SPY,lb5,real,694.3516,1388703200.0,support,deflect,1
2026-04-15,SPY,lb5,placebo,696.4697949628444,1388703200.0,resistance,deflect,1
2026-04-15,SPY,lb5,placebo,696.4697949628444,1388703200.0,resistance,break,0
2026-04-15,SPY,lb5,placebo,696.4697949628444,1388703200.0,support,deflect,1
2026-04-15,SPY,lb5,placebo,696.4697949628444,1388703200.0,support,deflect,1
2026-04-15,SPY,lb5,placebo,696.4697949628444,1388703200.0,support,deflect,1
2026-04-15,SPY,lb5,placebo,697.638725469392,1388703200.0,resistance,deflect,1
2026-04-16,QQQ,lb1,real,637.4,244761600.0,support,deflect,1
2026-04-16,QQQ,lb1,real,637.4,244761600.0,resistance,deflect,1
2026-04-16,QQQ,lb1,real,637.4,244761600.0,resistance,break,0
2026-04-16,QQQ,lb1,real,637.4,244761600.0,support,deflect,1
2026-04-16,QQQ,lb1,placebo,640.555257307625,244761600.0,resistance,deflect,1
2026-04-16,QQQ,lb1,placebo,640.555257307625,244761600.0,resistance,break,0
2026-04-16,QQQ,lb1,placebo,640.555257307625,244761600.0,resistance,deflect,1
2026-04-16,QQQ,lb1,placebo,640.555257307625,244761600.0,resistance,deflect,1
2026-04-16,QQQ,lb1,placebo,641.3463533769689,244761600.0,resistance,break,0
2026-04-16,QQQ,lb1,placebo,641.3463533769689,244761600.0,support,break,0
2026-04-16,QQQ,lb1,placebo,640.0252172811006,244761600.0,resistance,break,0
2026-04-16,QQQ,lb1,placebo,640.0252172811006,244761600.0,support,deflect,1
2026-04-16,QQQ,lb1,placebo,640.0252172811006,244761600.0,support,deflect,1
2026-04-16,QQQ,lb1,placebo,640.0252172811006,244761600.0,support,deflect,1
2026-04-16,QQQ,lb1,placebo,640.0252172811006,244761600.0,support,break,0
2026-04-16,QQQ,lb1,placebo,640.0252172811006,244761600.0,resistance,break,0
2026-04-16,QQQ,lb1,placebo,640.0252172811006,244761600.0,support,break,0
2026-04-16,QQQ,lb5,real,637.4,244761600.0,support,deflect,1
2026-04-16,QQQ,lb5,real,637.4,244761600.0,resistance,deflect,1
2026-04-16,QQQ,lb5,real,637.4,244761600.0,resistance,break,0
2026-04-16,QQQ,lb5,real,637.4,244761600.0,support,deflect,1
2026-04-16,QQQ,lb5,placebo,640.7758341343592,244761600.0,resistance,break,0
2026-04-16,QQQ,lb5,placebo,640.7758341343592,244761600.0,resistance,break,0
2026-04-16,QQQ,lb5,placebo,640.7758341343592,244761600.0,support,break,0
2026-04-16,QQQ,lb5,placebo,640.7758341343592,244761600.0,resistance,deflect,1
2026-04-16,QQQ,lb5,placebo,640.7758341343592,244761600.0,resistance,deflect,1
2026-04-16,QQQ,lb5,placebo,640.5327297462628,244761600.0,resistance,deflect,1
2026-04-16,QQQ,lb5,placebo,640.5327297462628,244761600.0,resistance,break,0
2026-04-16,QQQ,lb5,placebo,640.5327297462628,244761600.0,support,deflect,1
2026-04-16,QQQ,lb5,placebo,640.5327297462628,244761600.0,resistance,deflect,1
2026-04-16,QQQ,lb5,placebo,640.5327297462628,244761600.0,resistance,deflect,1
2026-04-16,QQQ,lb5,placebo,640.5327297462628,244761600.0,support,break,0
2026-04-16,SPY,lb1,placebo,699.0528498241704,1388703200.0,support,deflect,1
2026-04-16,SPY,lb1,real,699.9251,489947570.00000006,resistance,deflect,1
2026-04-16,SPY,lb1,real,699.9251,489947570.00000006,resistance,break,0
2026-04-16,SPY,lb1,real,699.9251,489947570.00000006,support,deflect,1
2026-04-16,SPY,lb1,real,699.9251,489947570.00000006,support,deflect,1
2026-04-16,SPY,lb5,real,699.9251,489947570.00000006,resistance,deflect,1
2026-04-16,SPY,lb5,real,699.9251,489947570.00000006,resistance,break,0
2026-04-16,SPY,lb5,real,699.9251,489947570.00000006,support,deflect,1
2026-04-16,SPY,lb5,real,699.9251,489947570.00000006,support,deflect,1
2026-04-16,SPY,lb5,placebo,702.8317987769606,489947570.00000006,resistance,deflect,1
2026-04-17,QQQ,lb5,placebo,644.8358011395482,102487368.93,resistance,break,0
2026-04-17,SPY,lb5,placebo,706.6680440795661,701757500.0,resistance,break,0
2026-04-17,SPY,lb5,placebo,706.6680440795661,701757500.0,support,deflect,1
2026-04-20,QQQ,lb1,placebo,646.2936068620213,324404200.0,support,deflect,1
2026-04-20,QQQ,lb1,placebo,646.2936068620213,324404200.0,support,deflect,1
2026-04-20,QQQ,lb1,placebo,646.2936068620213,324404200.0,support,break,0
2026-04-20,QQQ,lb1,placebo,646.2936068620213,324404200.0,resistance,deflect,1
2026-04-20,QQQ,lb1,placebo,645.2506171915012,324404200.0,support,break,0
2026-04-20,QQQ,lb1,placebo,645.2506171915012,324404200.0,resistance,deflect,1
2026-04-20,QQQ,lb1,placebo,645.2506171915012,324404200.0,support,deflect,1
2026-04-20,QQQ,lb1,real,646.1061,323053050.0,support,deflect,1
2026-04-20,QQQ,lb1,real,646.1061,323053050.0,support,break,0
2026-04-20,QQQ,lb1,real,646.1061,323053050.0,resistance,deflect,1
2026-04-20,QQQ,lb1,placebo,648.1306464086457,323053050.0,support,break,0
2026-04-20,QQQ,lb1,placebo,644.1077178079626,142198647.24,support,break,0
2026-04-20,QQQ,lb1,placebo,644.1077178079626,142198647.24,resistance,break,0
2026-04-20,QQQ,lb1,placebo,644.1077178079626,142198647.24,support,deflect,1
2026-04-20,QQQ,lb1,real,647.33,103572800.0,resistance,deflect,1
2026-04-20,QQQ,lb1,real,647.33,103572800.0,resistance,deflect,1
2026-04-20,QQQ,lb1,real,647.33,103572800.0,resistance,deflect,1
2026-04-20,QQQ,lb1,placebo,644.4517572560001,102487368.93,support,break,0
2026-04-20,QQQ,lb1,placebo,644.4517572560001,102487368.93,resistance,break,0
2026-04-20,QQQ,lb1,placebo,644.4517572560001,102487368.93,support,deflect,1
2026-04-20,QQQ,lb5,placebo,646.8258526386154,324404200.0,support,deflect,1
2026-04-20,QQQ,lb5,placebo,646.8258526386154,324404200.0,support,break,0
2026-04-20,QQQ,lb5,placebo,646.8258526386154,324404200.0,resistance,deflect,1
2026-04-20,QQQ,lb5,real,646.1061,323053050.0,support,deflect,1
2026-04-20,QQQ,lb5,real,646.1061,323053050.0,support,break,0
2026-04-20,QQQ,lb5,real,646.1061,323053050.0,resistance,deflect,1
2026-04-20,QQQ,lb5,placebo,643.8877693898314,323053050.0,support,deflect,1
2026-04-20,QQQ,lb5,placebo,643.8877693898314,323053050.0,resistance,break,0
2026-04-20,QQQ,lb5,placebo,644.2085161719097,142198647.24,support,break,0
2026-04-20,QQQ,lb5,placebo,644.2085161719097,142198647.24,resistance,break,0
2026-04-20,QQQ,lb5,placebo,644.2085161719097,142198647.24,support,deflect,1
2026-04-20,SPY,lb1,real,706.184,706184000.0,support,deflect,1
2026-04-20,SPY,lb1,placebo,707.2803233702915,355099300.0,support,break,0
2026-04-20,SPY,lb1,placebo,707.2803233702915,355099300.0,resistance,break,0
2026-04-20,SPY,lb1,placebo,707.2803233702915,355099300.0,support,deflect,1
2026-04-20,SPY,lb5,real,706.184,706184000.0,support,deflect,1
2026-04-20,SPY,lb5,placebo,706.2411649296268,701757500.0,support,deflect,1
2026-04-20,SPY,lb5,placebo,707.1529507462909,355099300.0,support,deflect,1
2026-04-20,SPY,lb5,placebo,707.1529507462909,355099300.0,resistance,break,0
2026-04-20,SPY,lb5,placebo,707.1529507462909,355099300.0,support,deflect,1
2026-04-20,SPY,lb5,placebo,707.1529507462909,355099300.0,support,deflect,1
2026-04-21,QQQ,lb1,real,648.8153,946428824.5559,resistance,break,0
2026-04-21,QQQ,lb1,real,648.8153,946428824.5559,support,break,0
2026-04-21,QQQ,lb1,real,648.8153,946428824.5559,support,break,0
2026-04-21,QQQ,lb1,placebo,644.6556341972549,946428824.5559,support,break,0
2026-04-21,QQQ,lb1,placebo,644.6556341972549,946428824.5559,resistance,break,0
2026-04-21,QQQ,lb1,placebo,645.752710267107,946428824.5559,support,deflect,1
2026-04-21,QQQ,lb1,placebo,645.752710267107,946428824.5559,support,deflect,1
2026-04-21,QQQ,lb1,placebo,645.752710267107,946428824.5559,resistance,deflect,1
2026-04-21,QQQ,lb1,placebo,645.752710267107,946428824.5559,resistance,deflect,1
2026-04-21,QQQ,lb1,placebo,645.752710267107,946428824.5559,resistance,deflect,1
2026-04-21,QQQ,lb1,real,646.79,323395000.0,support,deflect,1
2026-04-21,QQQ,lb1,real,646.79,323395000.0,support,break,0
2026-04-21,QQQ,lb1,real,646.79,323395000.0,resistance,break,0
2026-04-21,QQQ,lb1,real,646.79,323395000.0,resistance,deflect,1
2026-04-21,QQQ,lb1,real,646.79,323395000.0,resistance,deflect,1
2026-04-21,QQQ,lb1,real,646.79,323395000.0,resistance,break,0
2026-04-21,QQQ,lb1,placebo,643.8180512164977,323395000.0,support,deflect,1
2026-04-21,QQQ,lb1,real,646.24,96936000.0,support,deflect,1
2026-04-21,QQQ,lb1,real,646.24,96936000.0,support,deflect,1
2026-04-21,QQQ,lb1,real,646.24,96936000.0,support,deflect,1
2026-04-21,QQQ,lb1,real,646.24,96936000.0,support,break,0
2026-04-21,QQQ,lb1,real,646.24,96936000.0,resistance,deflect,1
2026-04-21,QQQ,lb1,real,646.24,96936000.0,resistance,deflect,1
2026-04-21,QQQ,lb1,real,646.24,96936000.0,resistance,deflect,1
2026-04-21,QQQ,lb1,real,646.24,96936000.0,resistance,break,0
2026-04-21,QQQ,lb1,real,646.24,96936000.0,support,break,0
2026-04-21,QQQ,lb1,placebo,644.127743083799,96936000.0,support,deflect,1
2026-04-21,QQQ,lb1,placebo,644.127743083799,96936000.0,resistance,break,0
2026-04-21,QQQ,lb1,placebo,644.0602839163001,96936000.0,resistance,break,0
2026-04-21,QQQ,lb5,real,648.8153,946428824.5559,resistance,break,0
2026-04-21,QQQ,lb5,real,648.8153,946428824.5559,support,break,0
2026-04-21,QQQ,lb5,real,648.8153,946428824.5559,support,break,0
2026-04-21,QQQ,lb5,placebo,644.7621007705678,946428824.5559,support,deflect,1
2026-04-21,QQQ,lb5,placebo,644.7621007705678,946428824.5559,support,break,0
2026-04-21,QQQ,lb5,placebo,644.7621007705678,946428824.5559,resistance,break,0
2026-04-21,QQQ,lb5,placebo,644.7621007705678,946428824.5559,support,deflect,1
2026-04-21,QQQ,lb5,real,646.79,323395000.0,support,deflect,1
2026-04-21,QQQ,lb5,real,646.79,323395000.0,support,break,0
2026-04-21,QQQ,lb5,real,646.79,323395000.0,resistance,break,0
2026-04-21,QQQ,lb5,real,646.79,323395000.0,resistance,deflect,1
2026-04-21,QQQ,lb5,real,646.79,323395000.0,resistance,deflect,1
2026-04-21,QQQ,lb5,real,646.79,323395000.0,resistance,break,0
2026-04-21,QQQ,lb5,placebo,649.6451848077053,323395000.0,resistance,deflect,1
2026-04-21,QQQ,lb5,placebo,642.6037367161318,323395000.0,support,deflect,1
2026-04-21,QQQ,lb5,real,646.1061,323053050.0,support,deflect,1
2026-04-21,QQQ,lb5,real,646.1061,323053050.0,support,deflect,1
2026-04-21,QQQ,lb5,real,646.1061,323053050.0,support,deflect,1
2026-04-21,QQQ,lb5,real,646.1061,323053050.0,support,break,0
2026-04-21,QQQ,lb5,real,646.1061,323053050.0,support,break,0
2026-04-21,QQQ,lb5,real,646.1061,323053050.0,resistance,deflect,1
2026-04-21,QQQ,lb5,real,646.1061,323053050.0,resistance,deflect,1
2026-04-21,QQQ,lb5,real,646.1061,323053050.0,resistance,deflect,1
2026-04-21,QQQ,lb5,real,646.1061,323053050.0,support,deflect,1
2026-04-21,QQQ,lb5,real,646.1061,323053050.0,support,break,0
2026-04-21,QQQ,lb5,placebo,643.2589787175277,323053050.0,support,deflect,1
2026-04-21,QQQ,lb5,placebo,643.2589787175277,323053050.0,resistance,break,0
2026-04-21,QQQ,lb5,placebo,643.2489545150862,142198647.24,support,deflect,1
2026-04-21,QQQ,lb5,placebo,643.2489545150862,142198647.24,resistance,break,0
2026-04-21,QQQ,lb5,placebo,643.3382659466632,142198647.24,support,deflect,1
2026-04-21,QQQ,lb5,placebo,643.3382659466632,142198647.24,resistance,break,0
2026-04-21,SPY,lb1,placebo,710.7376467895093,516264716.26,resistance,deflect,1
2026-04-21,SPY,lb1,real,710.2124,250278849.76,resistance,break,0
2026-04-21,SPY,lb1,real,710.2124,250278849.76,support,break,0
2026-04-21,SPY,lb1,placebo,708.0644171706149,250278849.76,resistance,deflect,1
2026-04-21,SPY,lb1,placebo,708.0644171706149,250278849.76,resistance,deflect,1
2026-04-21,SPY,lb1,placebo,707.8840810838809,250278849.76,support,break,0
2026-04-21,SPY,lb1,placebo,707.8840810838809,250278849.76,resistance,deflect,1
2026-04-21,SPY,lb1,placebo,707.8840810838809,250278849.76,resistance,deflect,1
2026-04-21,SPY,lb1,real,709.65,212866614.0,resistance,break,0
2026-04-21,SPY,lb1,real,709.65,212866614.0,resistance,break,0
2026-04-21,SPY,lb1,real,709.65,212866614.0,support,break,0
2026-04-21,SPY,lb1,placebo,707.2605866408817,212866614.0,support,break,0
2026-04-21,SPY,lb1,placebo,707.2605866408817,212866614.0,resistance,deflect,1
2026-04-21,SPY,lb1,placebo,707.2605866408817,212866614.0,resistance,deflect,1
2026-04-21,SPY,lb1,placebo,707.2605866408817,212866614.0,resistance,deflect,1
2026-04-21,SPY,lb1,placebo,707.2605866408817,212866614.0,resistance,deflect,1
2026-04-21,SPY,lb1,placebo,707.2605866408817,212866614.0,support,break,0
2026-04-21,SPY,lb1,real,709.06,106358999.99999999,support,deflect,1
2026-04-21,SPY,lb1,real,709.06,106358999.99999999,support,break,0
2026-04-21,SPY,lb1,placebo,704.7295277412254,106358999.99999999,support,break,0
2026-04-21,SPY,lb1,placebo,704.7295277412254,106358999.99999999,resistance,break,0
2026-04-21,SPY,lb1,placebo,704.7295277412254,106358999.99999999,support,deflect,1
2026-04-21,SPY,lb1,placebo,704.4274495625816,106358999.99999999,support,deflect,1
2026-04-21,SPY,lb1,placebo,704.4274495625816,106358999.99999999,resistance,break,0
2026-04-21,SPY,lb5,real,706.184,706184000.0,support,deflect,1
2026-04-21,SPY,lb5,real,706.184,706184000.0,support,break,0
2026-04-21,SPY,lb5,real,706.184,706184000.0,resistance,deflect,1
2026-04-21,SPY,lb5,real,706.184,706184000.0,resistance,deflect,1
2026-04-21,SPY,lb5,real,706.184,706184000.0,resistance,deflect,1
2026-04-21,SPY,lb5,real,706.184,706184000.0,resistance,break,0
2026-04-21,SPY,lb5,real,706.184,706184000.0,support,break,0
2026-04-21,SPY,lb5,placebo,710.2063356797424,706184000.0,resistance,break,0
2026-04-21,SPY,lb5,placebo,710.2063356797424,706184000.0,support,break,0
2026-04-21,SPY,lb5,placebo,709.5542291706579,706184000.0,resistance,break,0
2026-04-21,SPY,lb5,placebo,709.5542291706579,706184000.0,resistance,break,0
2026-04-21,SPY,lb5,placebo,709.5542291706579,706184000.0,support,break,0
2026-04-21,SPY,lb5,placebo,705.2260394754802,701757500.0,support,break,0
2026-04-21,SPY,lb5,placebo,705.2260394754802,701757500.0,resistance,break,0
2026-04-21,SPY,lb5,placebo,705.2260394754802,701757500.0,support,deflect,1
2026-04-21,SPY,lb5,placebo,705.4261487068246,516264716.26,support,break,0
2026-04-21,SPY,lb5,placebo,705.4261487068246,516264716.26,support,break,0
2026-04-21,SPY,lb5,placebo,705.4261487068246,516264716.26,resistance,break,0
2026-04-21,SPY,lb5,placebo,705.4261487068246,516264716.26,resistance,break,0
2026-04-21,SPY,lb5,real,710.1986,355099300.0,resistance,break,0
2026-04-21,SPY,lb5,real,710.1986,355099300.0,support,break,0
2026-04-21,SPY,lb5,placebo,705.3825328268215,355099300.0,support,break,0
2026-04-21,SPY,lb5,placebo,705.3825328268215,355099300.0,support,break,0
2026-04-21,SPY,lb5,placebo,705.3825328268215,355099300.0,resistance,break,0
2026-04-21,SPY,lb5,placebo,705.3825328268215,355099300.0,resistance,break,0
2026-04-21,SPY,lb5,placebo,707.135876048737,355099300.0,resistance,deflect,1
2026-04-21,SPY,lb5,placebo,707.135876048737,355099300.0,resistance,deflect,1
2026-04-21,SPY,lb5,placebo,707.135876048737,355099300.0,support,break,0
2026-04-22,QQQ,lb1,real,648.8153,946428824.5559,resistance,break,0
2026-04-22,QQQ,lb1,placebo,652.0525907447994,946428824.5559,resistance,break,0
2026-04-22,QQQ,lb1,placebo,652.0525907447994,946428824.5559,support,deflect,1
2026-04-22,QQQ,lb1,placebo,652.0525907447994,946428824.5559,support,deflect,1
2026-04-22,QQQ,lb1,placebo,652.0525907447994,946428824.5559,resistance,break,0
2026-04-22,QQQ,lb1,placebo,652.0525907447994,946428824.5559,support,deflect,1
2026-04-22,QQQ,lb1,placebo,652.0525907447994,946428824.5559,support,deflect,1
2026-04-22,QQQ,lb1,placebo,652.0525907447994,946428824.5559,support,deflect,1
2026-04-22,QQQ,lb1,placebo,651.21771980235,946428824.5559,resistance,break,0
2026-04-22,QQQ,lb1,placebo,650.0246287325164,323395000.0,resistance,break,0
2026-04-22,QQQ,lb1,placebo,649.8589398887256,323395000.0,resistance,break,0
2026-04-22,QQQ,lb1,placebo,650.5598880466914,96936000.0,resistance,break,0
2026-04-22,QQQ,lb1,placebo,649.6670344001384,96936000.0,resistance,break,0
2026-04-22,QQQ,lb1,placebo,649.6670344001384,96936000.0,resistance,break,0
2026-04-22,QQQ,lb1,placebo,650.0127464356973,96936000.0,resistance,break,0
2026-04-22,QQQ,lb5,real,648.8153,946428824.5559,resistance,break,0
2026-04-22,QQQ,lb5,placebo,651.5131134798668,946428824.5559,resistance,break,0
2026-04-22,QQQ,lb5,placebo,651.5131134798668,946428824.5559,support,deflect,1
2026-04-22,QQQ,lb5,placebo,651.2078016968749,946428824.5559,resistance,break,0
2026-04-22,QQQ,lb5,placebo,650.8829541612625,323395000.0,resistance,break,0
2026-04-22,QQQ,lb5,placebo,649.3598686510024,323395000.0,resistance,break,0
2026-04-22,QQQ,lb5,placebo,649.3985598808168,323053050.0,resistance,break,0
2026-04-22,QQQ,lb5,placebo,650.2942228420112,323053050.0,resistance,break,0
2026-04-22,QQQ,lb5,placebo,649.7306780146057,103572800.0,resistance,break,0
2026-04-22,QQQ,lb5,placebo,649.7306780146057,103572800.0,resistance,break,0
2026-04-22,QQQ,lb5,placebo,650.4733129593621,103572800.0,resistance,break,0
2026-04-22,SPY,lb1,placebo,708.5786303430165,704032700.0,resistance,break,0
2026-04-22,SPY,lb1,placebo,708.5786303430165,704032700.0,support,deflect,1
2026-04-22,SPY,lb1,real,708.53,516264716.26,resistance,break,0
2026-04-22,SPY,lb1,real,710.2124,250278849.76,resistance,deflect,1
2026-04-22,SPY,lb1,real,710.2124,250278849.76,resistance,deflect,1
2026-04-22,SPY,lb1,real,710.2124,250278849.76,resistance,deflect,1
2026-04-22,SPY,lb1,real,709.65,212866614.0,resistance,break,0
2026-04-22,SPY,lb1,real,709.65,212866614.0,support,deflect,1
2026-04-22,SPY,lb1,real,709.65,212866614.0,resistance,deflect,1
2026-04-22,SPY,lb1,real,709.65,212866614.0,resistance,deflect,1
2026-04-22,SPY,lb1,placebo,708.9255629676691,195059935.2,support,deflect,1
2026-04-22,SPY,lb1,placebo,708.9255629676691,195059935.2,support,deflect,1
2026-04-22,SPY,lb1,placebo,708.928068297338,134564116.5,support,deflect,1
2026-04-22,SPY,lb1,placebo,708.928068297338,134564116.5,support,deflect,1
